,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1133090718546375,BTC,1.855515119757729e-05,AUD to BTC,0,0
0_trade2,60675.41121462205,SGD,54500.06,BTC to SGD,0,0
0_trade3,59783.44225616014,AUD,0.9852993339376502,SGD to AUD,-216.55774383986136,-0.003609295730664356
1_trade1,60885.600000000006,SGD,1.01476,AUD to SGD,0,0
1_trade2,1.109083887702834,BTC,1.821586529003301e-05,SGD to BTC,0,0
1_trade3,59660.87193532641,AUD,53792.93,BTC to AUD,-339.1280646735904,-0.005652134411226507
