,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1182894942107084,BTC,1.863815823684514e-05,AUD to BTC,0,0
0_trade2,60702.96795895579,SGD,54281.98,BTC to SGD,0,0
0_trade3,59877.85116983547,AUD,0.9864073073053327,SGD to AUD,-122.1488301645295,-0.002035813836075492
1_trade1,60820.200000000004,SGD,1.01367,AUD to SGD,0,0
1_trade2,1.115859071975976,BTC,1.8346849763334812e-05,SGD to BTC,0,0
1_trade3,59797.31430590106,AUD,53588.59,BTC to AUD,-202.68569409893826,-0.003378094901648971
