,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1088492639550989,BTC,1.8480821065918315e-05,AUD to BTC,0,0
0_trade2,60679.66915634127,SGD,54723.1,BTC to SGD,0,0
0_trade3,59806.494338991986,AUD,0.9856100926473488,SGD to AUD,-193.5056610080137,-0.003225094350133562
1_trade1,60867.00000000001,SGD,1.01445,AUD to SGD,0,0
1_trade2,1.1079974893618263,BTC,1.8203583047658437e-05,SGD to BTC,0,0
1_trade3,59828.39639339692,AUD,53996.87,BTC to AUD,-171.60360660307924,-0.0028600601100513207
