,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1105996182869111,BTC,1.8509993638115186e-05,AUD to BTC,0,0
0_trade2,60684.917890593715,SGD,54641.58,BTC to SGD,0,0
0_trade3,59844.69832609533,AUD,0.9861543923316634,SGD to AUD,-155.3016739046725,-0.0025883612317445415
1_trade1,60833.399999999994,SGD,1.01389,AUD to SGD,0,0
1_trade2,1.1047561972214655,BTC,1.816035594297648e-05,SGD to BTC,0,0
1_trade3,59656.834649959135,AUD,54000.0,BTC to AUD,-343.1653500408647,-0.005719422500681079
