marketId,bestBid,bestAsk,timestamp
AUD_USD,0.74291,0.743,2022-04-12 04:51:15.629205
BTC_AUD,53559.92,53629.27,2022-04-12 04:51:16.230340
BTC_USD,39641.09,39977.09,2022-04-12 04:51:17.237548
