,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1109720338713154,BTC,1.8516200564521924e-05,AUD to BTC,0,0
0_trade2,60696.646123559345,SGD,54633.82,BTC to SGD,0,0
0_trade3,59808.49004637074,AUD,0.985367295659457,SGD to AUD,-191.50995362926187,-0.003191832560487698
1_trade1,60885.600000000006,SGD,1.01476,AUD to SGD,0,0
1_trade2,1.1098191551239747,BTC,1.8227941502161014e-05,SGD to BTC,0,0
1_trade3,59840.90503289871,AUD,53919.51,BTC to AUD,-159.09496710129315,-0.0026515827850215525
