,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1103823712733718,BTC,1.8506372854556195e-05,AUD to BTC,0,0
0_trade2,60685.88319073556,SGD,54653.14,BTC to SGD,0,0
0_trade3,59814.387563929115,AUD,0.9856392363267197,SGD to AUD,-185.61243607088545,-0.003093540601181424
1_trade1,60865.200000000004,SGD,1.01442,AUD to SGD,0,0
1_trade2,1.109088868221032,BTC,1.8222052473680067e-05,SGD to BTC,0,0
1_trade3,59819.761741926166,AUD,53935.95,BTC to AUD,-180.238258073834,-0.003003970967897233
