,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.2488067651359125,BTC,2.497613530271825e-05,USD to BTC,0,0
0_trade2,66897.26716122744,AUD,53568.95,BTC to AUD,0,0
0_trade3,49695.30388338942,USD,0.74286,AUD to USD,-304.696116610583,-0.006093922332211659
1_trade1,67299.2798977051,AUD,1.345985597954102,USD to AUD,0,0
1_trade2,1.2535820586776765,BTC,1.8626975809891594e-05,AUD to BTC,0,0
1_trade3,49689.63607171278,USD,39638.12,BTC to USD,-310.3639282872173,-0.006207278565744346
