,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1144540605319437,BTC,1.8574234342199063e-05,AUD to BTC,0,0
0_trade2,60632.94303913851,SGD,54405.96,BTC to SGD,0,0
0_trade3,59809.958016826975,AUD,0.9864267676767677,SGD to AUD,-190.04198317302507,-0.0031673663862170844
1_trade1,60817.8,SGD,1.01363,AUD to SGD,0,0
1_trade2,1.1131940783693552,BTC,1.830375446611609e-05,SGD to BTC,0,0
1_trade3,59853.195067211396,AUD,53767.08,BTC to AUD,-146.80493278860376,-0.002446748879810063
