,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1134185679989772,BTC,1.8556976133316287e-05,AUD to BTC,0,0
0_trade2,60592.9287900165,SGD,54420.62,BTC to SGD,0,0
0_trade3,59768.12861512774,AUD,0.9863878477017163,SGD to AUD,-231.87138487226184,-0.003864523081204364
1_trade1,60820.200000000004,SGD,1.01367,AUD to SGD,0,0
1_trade2,1.1129703254027599,BTC,1.8299353264256937e-05,SGD to BTC,0,0
1_trade3,59920.66399389974,AUD,53838.51,BTC to AUD,-79.33600610026042,-0.0013222667683376738
