,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1088918898789035,BTC,1.8481531497981726e-05,AUD to BTC,0,0
0_trade2,60689.39808793771,SGD,54729.77,BTC to SGD,0,0
0_trade3,59819.03118420749,AUD,0.9856586664038243,SGD to AUD,-180.96881579251203,-0.0030161469298752006
1_trade1,60865.799999999996,SGD,1.01443,AUD to SGD,0,0
1_trade2,1.1075967967553382,BTC,1.8197358726170332e-05,SGD to BTC,0,0
1_trade3,59846.11316100314,AUD,54032.4,BTC to AUD,-153.88683899686293,-0.0025647806499477155
