,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1107379854248962,BTC,1.8512299757081602e-05,AUD to BTC,0,0
0_trade2,60681.24892860065,SGD,54631.47,BTC to SGD,0,0
0_trade3,59809.819853337525,AUD,0.9856392363267197,SGD to AUD,-190.18014666247473,-0.0031696691110412456
1_trade1,60867.00000000001,SGD,1.01445,AUD to SGD,0,0
1_trade2,1.109739239447477,BTC,1.8232198719297434e-05,SGD to BTC,0,0
1_trade3,59828.79455192732,AUD,53912.48,BTC to AUD,-171.20544807268016,-0.002853424134544669
