,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.111007211362641,BTC,1.8516786856044016e-05,AUD to BTC,0,0
0_trade2,60686.89131849706,SGD,54623.31,BTC to SGD,0,0
0_trade3,59819.508446029635,AUD,0.9857072449482505,SGD to AUD,-180.4915539703652,-0.0030081925661727535
1_trade1,60861.00000000001,SGD,1.01435,AUD to SGD,0,0
1_trade2,1.109770671828736,BTC,1.8234512607889054e-05,SGD to BTC,0,0
1_trade3,59927.61627875174,AUD,54000.0,BTC to AUD,-72.38372124826128,-0.001206395354137688
