,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1081695366410718,BTC,1.8469492277351196e-05,AUD to BTC,0,0
0_trade2,60692.28459123505,SGD,54768.05,BTC to SGD,0,0
0_trade3,59827.7732675194,AUD,0.9857558282813347,SGD to AUD,-172.22673248060164,-0.002870445541343361
1_trade1,60857.399999999994,SGD,1.01429,AUD to SGD,0,0
1_trade2,1.1068753244287235,BTC,1.818801533467949e-05,SGD to BTC,0,0
1_trade3,59818.26544542631,AUD,54042.46,BTC to AUD,-181.73455457368982,-0.0030289092428948303
