,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.108234217174749,BTC,1.8470570286245816e-05,AUD to BTC,0,0
0_trade2,60696.11515883398,SGD,54768.31,BTC to SGD,0,0
0_trade3,59815.03962515544,AUD,0.9854838232830408,SGD to AUD,-184.96037484455883,-0.0030826729140759805
1_trade1,60877.200000000004,SGD,1.01462,AUD to SGD,0,0
1_trade2,1.1072354471323502,BTC,1.818801533467949e-05,SGD to BTC,0,0
1_trade3,59834.44994530864,AUD,54039.5,BTC to AUD,-165.55005469136086,-0.0027591675781893474
