,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1114776929205725,BTC,1.8524628215342876e-05,AUD to BTC,0,0
0_trade2,60672.621840647815,SGD,54587.35,BTC to SGD,0,0
0_trade3,59771.27107286895,AUD,0.9851440280569019,SGD to AUD,-228.72892713105102,-0.003812148785517517
1_trade1,60895.80000000001,SGD,1.01493,AUD to SGD,0,0
1_trade2,1.110878218006553,BTC,1.8242279730400995e-05,SGD to BTC,0,0
1_trade3,59823.024904871076,AUD,53852.01,BTC to AUD,-176.9750951289243,-0.0029495849188154047
