,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.114415766605677,BTC,1.857359611009462e-05,AUD to BTC,0,0
0_trade2,60630.8596213178,SGD,54405.96,BTC to SGD,0,0
0_trade3,59805.54312617656,AUD,0.9863878477017163,SGD to AUD,-194.4568738234375,-0.0032409478970572914
1_trade1,60820.200000000004,SGD,1.01367,AUD to SGD,0,0
1_trade2,1.113238007380074,BTC,1.830375446611609e-05,SGD to BTC,0,0
1_trade3,59853.252599169755,AUD,53765.01,BTC to AUD,-146.74740083024517,-0.0024457900138374197
