,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1103371649835188,BTC,1.850561941639198e-05,AUD to BTC,0,0
0_trade2,60687.42084221294,SGD,54656.75,BTC to SGD,0,0
0_trade3,59848.347017034124,AUD,0.9861738427249956,SGD to AUD,-151.6529829658757,-0.0025275497160979284
1_trade1,60834.600000000006,SGD,1.01391,AUD to SGD,0,0
1_trade2,1.1045011873897037,BTC,1.8155805863599062e-05,SGD to BTC,0,0
1_trade3,59643.064119044,AUD,54000.0,BTC to AUD,-356.9358809559999,-0.005948931349266665
