,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.111002685478658,BTC,1.85167114246443e-05,AUD to BTC,0,0
0_trade2,60700.56496338228,SGD,54635.84,BTC to SGD,0,0
0_trade3,59805.27992293594,AUD,0.9852507955900175,SGD to AUD,-194.72007706406293,-0.003245334617734382
1_trade1,60891.600000000006,SGD,1.01486,AUD to SGD,0,0
1_trade2,1.1098291939560099,BTC,1.8226310262105278e-05,SGD to BTC,0,0
1_trade3,59812.25781400197,AUD,53893.21,BTC to AUD,-187.74218599803135,-0.0031290364333005226
