,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1138968847088877,BTC,1.8564948078481462e-05,AUD to BTC,0,0
0_trade2,60686.34984345108,SGD,54481.12,BTC to SGD,0,0
0_trade3,59800.1121809297,AUD,0.9853964249817702,SGD to AUD,-199.88781907030352,-0.0033314636511717253
1_trade1,60881.40000000001,SGD,1.01469,AUD to SGD,0,0
1_trade2,1.1127971655763165,BTC,1.8278113932602014e-05,SGD to BTC,0,0
1_trade3,59867.16327937879,AUD,53798.81,BTC to AUD,-132.83672062121332,-0.0022139453436868886
