,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.111007211362641,BTC,1.8516786856044016e-05,AUD to BTC,0,0
0_trade2,60686.90242856918,SGD,54623.32,BTC to SGD,0,0
0_trade3,59814.80260656545,AUD,0.9856295215754302,SGD to AUD,-185.1973934345515,-0.0030866232239091912
1_trade1,60865.799999999996,SGD,1.01443,AUD to SGD,0,0
1_trade2,1.1098581974892534,BTC,1.8234512607889054e-05,SGD to BTC,0,0
1_trade3,59932.34266441968,AUD,54000.0,BTC to AUD,-67.65733558031934,-0.001127622259671989
