,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1109471435419624,BTC,1.8515785725699373e-05,AUD to BTC,0,0
0_trade2,60687.198574580754,SGD,54626.54,BTC to SGD,0,0
0_trade3,59822.16999643235,AUD,0.9857461112315913,SGD to AUD,-177.83000356765115,-0.002963833392794186
1_trade1,60859.200000000004,SGD,1.01432,AUD to SGD,0,0
1_trade2,1.1097378497060415,BTC,1.8234512607889054e-05,SGD to BTC,0,0
1_trade3,59925.84388412624,AUD,54000.0,BTC to AUD,-74.15611587376043,-0.0012359352645626737
