Date,Open,High,Low,Close,Adj Close,Volume
2021-02-19,0.970140,0.970600,0.959450,0.970280,0.970280,0
2021-02-22,0.958190,0.960090,0.955200,0.957660,0.957660,0
2021-02-23,0.956110,0.959570,0.954990,0.956090,0.956090,0
2021-02-24,0.958110,0.958260,0.954520,0.958070,0.958070,0
2021-02-25,0.950690,0.953014,0.948250,0.950495,0.950495,0
2021-02-26,0.957020,0.972880,0.956860,0.956750,0.956750,0
2021-03-01,0.970220,0.972120,0.966460,0.970330,0.970330,0
2021-03-02,0.969030,0.970130,0.961330,0.969020,0.969020,0
2021-03-03,0.961340,0.965200,0.959520,0.960976,0.960976,0
2021-03-04,0.966910,0.966910,0.961290,0.966170,0.966170,0
2021-03-05,0.968890,0.975750,0.967540,0.968850,0.968850,0
2021-03-08,0.967520,0.970230,0.964500,0.967350,0.967350,0
2021-03-09,0.967030,0.969840,0.963440,0.967090,0.967090,0
2021-03-10,0.964380,0.966940,0.961030,0.964380,0.964380,0
2021-03-11,0.962080,0.962870,0.958300,0.962310,0.962310,0
2021-03-12,0.958550,0.960690,0.957160,0.958360,0.958360,0
2021-03-15,0.958320,0.963340,0.957340,0.958290,0.958290,0
2021-03-16,0.959330,0.962730,0.958370,0.959366,0.959366,0
2021-03-17,0.959480,0.963080,0.959480,0.959510,0.959510,0
2021-03-18,0.955470,0.958140,0.951000,0.955260,0.955260,0
2021-03-19,0.959180,0.963710,0.958390,0.959354,0.959354,0
2021-03-22,0.963060,0.965580,0.962550,0.963080,0.963080,0
2021-03-23,0.963400,0.972150,0.963330,0.963270,0.963270,0
2021-03-24,0.975990,0.978714,0.974340,0.976610,0.976610,0
2021-03-25,0.978260,0.980120,0.975480,0.978300,0.978300,0
2021-03-26,0.977200,0.977620,0.973370,0.977160,0.977160,0
2021-03-29,0.972440,0.974380,0.970420,0.972440,0.972440,0
2021-03-30,0.970900,0.976320,0.968130,0.970990,0.970990,0
2021-03-31,0.975600,0.978000,0.974720,0.975510,0.975510,0
2021-04-01,0.979100,0.984850,0.977438,0.978978,0.978978,0
2021-04-02,0.975870,0.978060,0.974160,0.975785,0.975785,0
2021-04-05,0.975240,0.977090,0.973060,0.975120,0.975120,0
2021-04-06,0.973860,0.979720,0.973650,0.973889,0.973889,0
2021-04-07,0.974022,0.980170,0.973510,0.974100,0.974100,0
2021-04-08,0.979820,0.980190,0.975730,0.979670,0.979670,0
2021-04-09,0.974820,0.981750,0.974425,0.974690,0.974690,0
2021-04-12,0.977950,0.980180,0.976850,0.977690,0.977690,0
2021-04-13,0.977980,0.980220,0.974980,0.977970,0.977970,0
2021-04-14,0.975900,0.978030,0.968380,0.975730,0.975730,0
2021-04-15,0.968680,0.970120,0.965770,0.968531,0.968531,0
2021-04-16,0.966660,0.969330,0.966340,0.966630,0.966630,0
2021-04-19,0.970980,0.972060,0.965110,0.970960,0.970960,0
2021-04-20,0.968320,0.973030,0.964740,0.968210,0.968210,0
2021-04-21,0.974160,0.976200,0.969890,0.974160,0.974160,0
2021-04-22,0.970470,0.975520,0.969930,0.970500,0.970500,0
2021-04-23,0.975950,0.976500,0.972480,0.976130,0.976130,0
2021-04-26,0.972650,0.972650,0.965280,0.972830,0.972830,0
2021-04-27,0.967160,0.971262,0.966610,0.967011,0.967011,0
2021-04-28,0.970410,0.974770,0.970281,0.970280,0.970280,0
2021-04-29,0.967670,0.972030,0.966410,0.967680,0.967680,0
2021-04-30,0.969650,0.975370,0.968520,0.969680,0.969680,0
2021-05-03,0.973730,0.974160,0.968640,0.973650,0.973650,0
2021-05-04,0.969250,0.973030,0.968430,0.969240,0.969240,0
2021-05-05,0.970140,0.970450,0.966000,0.970020,0.970020,0
2021-05-06,0.966010,0.970650,0.964100,0.966090,0.966090,0
2021-05-07,0.963093,0.966690,0.960680,0.963000,0.963000,0
2021-05-10,0.960800,0.961960,0.957460,0.960730,0.960730,0
2021-05-11,0.961720,0.963560,0.960510,0.961820,0.961820,0
2021-05-12,0.961700,0.969630,0.961620,0.961840,0.961840,0
2021-05-13,0.969880,0.973140,0.968810,0.969860,0.969860,0
2021-05-14,0.970550,0.971050,0.964610,0.970310,0.970310,0
2021-05-17,0.964640,0.967270,0.963790,0.964510,0.964510,0
2021-05-18,0.963460,0.965810,0.961908,0.963460,0.963460,0
2021-05-19,0.965100,0.970120,0.964260,0.964990,0.964990,0
2021-05-20,0.970250,0.970390,0.965660,0.970320,0.970320,0
2021-05-21,0.966740,0.971200,0.966110,0.966800,0.966800,0
2021-05-24,0.972090,0.974520,0.970430,0.971637,0.971637,0
2021-05-25,0.971130,0.973820,0.970020,0.971260,0.971260,0
2021-05-26,0.973230,0.975970,0.969210,0.973200,0.973200,0
2021-05-27,0.974760,0.976360,0.973780,0.974850,0.974850,0
2021-05-28,0.975220,0.982270,0.974870,0.975040,0.975040,0
2021-05-31,0.980120,0.980420,0.976700,0.980250,0.980250,0
2021-06-01,0.977710,0.979320,0.974070,0.977690,0.977690,0
2021-06-02,0.974710,0.978750,0.973380,0.974780,0.974780,0
2021-06-03,0.976030,0.984360,0.975390,0.976120,0.976120,0
2021-06-04,0.982840,0.983930,0.975030,0.982530,0.982530,0
2021-06-07,0.975596,0.976675,0.973310,0.975230,0.975230,0
2021-06-08,0.974440,0.976480,0.973930,0.974510,0.974510,0
2021-06-09,0.976268,0.976930,0.974310,0.976160,0.976160,0
2021-06-10,0.976670,0.977610,0.973430,0.976590,0.976590,0
2021-06-11,0.974850,0.979820,0.972880,0.974780,0.974780,0
2021-06-14,0.978240,0.979490,0.975890,0.978500,0.978500,0
2021-06-15,0.977110,0.981090,0.976750,0.977180,0.977180,0
2021-06-16,0.980060,0.980230,0.977620,0.979950,0.979950,0
2021-06-17,0.983100,0.986650,0.980256,0.982840,0.982840,0
2021-06-18,0.986210,0.993310,0.985640,0.986120,0.986120,0
2021-06-21,0.990980,0.992480,0.987270,0.991012,0.991012,0
2021-06-22,0.987930,0.990210,0.986580,0.987730,0.987730,0
2021-06-23,0.984640,0.985880,0.979590,0.984660,0.984660,0
