"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 29, 2022","54,784.85","54,197.55","55,509.10","53,745.33","0.06K","1.08%"
"Jan 28, 2022","54,197.55","53,019.85","54,440.00","51,958.54","0.07K","2.22%"
"Jan 27, 2022","53,019.85","51,893.89","53,019.85","50,321.34","0.09K","2.17%"
"Jan 26, 2022","51,893.89","51,756.30","54,429.79","51,114.99","0.11K","0.27%"
"Jan 25, 2022","51,756.30","51,540.08","52,549.95","50,155.01","0.10K","0.42%"
"Jan 24, 2022","51,540.08","50,478.56","52,545.39","46,485.00","0.16K","2.10%"
"Jan 23, 2022","50,478.56","48,960.00","53,500.00","48,450.00","0.11K","3.10%"
"Jan 22, 2022","48,960.00","50,844.99","51,244.62","47,473.32","0.14K","-3.71%"
"Jan 21, 2022","50,844.99","56,435.00","57,074.95","49,500.00","0.23K","-9.91%"
"Jan 20, 2022","56,435.00","57,975.29","59,700.00","56,143.51","0.11K","-2.66%"
"Jan 19, 2022","57,975.29","58,993.70","59,540.52","57,335.46","0.05K","-1.73%"
"Jan 18, 2022","58,993.70","58,615.00","59,400.00","57,559.15","0.08K","0.65%"
"Jan 17, 2022","58,615.00","59,870.01","60,084.54","57,850.00","0.04K","-2.10%"
"Jan 16, 2022","59,870.01","59,965.00","60,596.40","59,365.00","0.03K","-0.16%"
"Jan 15, 2022","59,965.00","59,790.41","60,990.02","59,377.24","0.04K","0.14%"
"Jan 14, 2022","59,878.53","58,500.00","60,309.67","57,750.00","0.04K","2.36%"
"Jan 13, 2022","58,500.00","60,538.90","60,969.68","58,334.00","0.06K","-3.37%"
"Jan 12, 2022","60,538.90","59,300.13","61,085.30","58,884.97","0.08K","2.09%"
"Jan 11, 2022","59,300.13","58,400.00","59,900.00","57,744.51","0.06K","1.54%"
"Jan 10, 2022","58,400.00","58,459.89","58,954.00","55,555.00","0.08K","-0.10%"
"Jan 09, 2022","58,459.89","58,465.00","60,134.91","57,760.00","0.04K","-0.01%"
"Jan 08, 2022","58,465.00","57,889.41","59,184.05","56,793.20","0.10K","0.99%"
"Jan 07, 2022","57,889.41","60,146.47","60,200.02","56,900.00","0.11K","-3.75%"
"Jan 06, 2022","60,146.47","60,237.80","60,884.99","59,349.92","0.09K","-0.12%"
"Jan 05, 2022","60,220.01","63,584.99","64,954.52","58,989.29","0.09K","-5.29%"
"Jan 04, 2022","63,584.99","64,581.80","66,000.00","63,234.56","0.06K","-1.54%"
"Jan 03, 2022","64,581.80","65,174.50","65,854.85","63,822.00","0.04K","-0.91%"
"Jan 02, 2022","65,174.50","66,034.99","66,330.19","64,423.24","0.03K","-1.30%"
"Jan 01, 2022","66,034.99","63,772.25","66,505.29","63,772.25","0.02K","3.55%"
"Dec 31, 2021","63,772.25","65,104.50","66,963.79","62,860.30","0.06K","-2.05%"
"Dec 30, 2021","65,104.50","64,300.93","66,419.95","63,644.01","0.08K","1.25%"
"Dec 29, 2021","64,300.93","65,975.45","66,855.65","63,880.01","0.08K","-2.54%"
"Dec 28, 2021","65,975.45","70,007.92","70,098.10","65,550.00","0.05K","-5.76%"
"Dec 27, 2021","70,007.92","70,359.98","72,049.97","69,885.12","0.04K","-0.50%"
"Dec 26, 2021","70,359.98","70,097.58","71,114.75","68,899.99","0.04K","0.37%"
"Dec 25, 2021","70,097.58","70,255.00","71,148.11","69,814.90","0.02K","-0.22%"
"Dec 24, 2021","70,255.00","70,237.79","71,729.99","69,841.66","0.04K","0.02%"
"Dec 23, 2021","70,237.79","67,354.99","70,815.00","66,570.01","0.06K","4.28%"
"Dec 22, 2021","67,354.99","68,402.74","69,396.60","67,250.00","0.08K","-1.53%"
"Dec 21, 2021","68,402.74","65,930.49","69,025.00","65,651.13","0.06K","3.75%"
"Dec 20, 2021","65,930.49","65,570.40","66,799.82","63,963.89","0.06K","0.55%"
"Dec 19, 2021","65,570.40","65,786.35","67,870.00","65,320.00","0.03K","-0.33%"
"Dec 18, 2021","65,786.35","65,000.00","66,507.68","63,975.00","0.03K","1.21%"
"Dec 17, 2021","65,000.00","66,285.00","66,930.30","63,750.00","0.09K","-1.94%"
"Dec 16, 2021","66,285.00","68,159.98","68,649.76","66,282.00","0.06K","-2.75%"
"Dec 15, 2021","68,159.98","68,163.30","69,109.99","65,424.00","0.18K","-0.00%"
"Dec 14, 2021","68,163.30","65,723.49","68,614.99","65,130.53","0.11K","3.71%"
"Dec 13, 2021","65,723.49","69,960.00","70,084.94","64,499.60","0.12K","-6.06%"
"Dec 12, 2021","69,960.00","69,005.60","70,935.09","68,179.61","0.04K","1.38%"
"Dec 11, 2021","69,005.60","66,049.99","69,170.01","65,560.00","0.06K","4.47%"
"Dec 10, 2021","66,049.99","66,620.00","70,000.00","65,652.61","0.06K","-0.86%"
"Dec 09, 2021","66,620.00","70,301.24","70,924.99","66,255.49","0.07K","-5.24%"
"Dec 08, 2021","70,301.24","71,128.43","71,529.91","68,370.00","0.06K","-1.16%"
"Dec 07, 2021","71,128.43","71,774.98","73,060.00","70,345.42","0.08K","-1.01%"
"Dec 06, 2021","71,854.97","70,535.01","72,300.00","67,170.00","0.15K","1.87%"
"Dec 05, 2021","70,535.01","71,288.67","72,065.60","69,000.01","0.09K","-1.06%"
"Dec 04, 2021","71,288.67","76,900.01","77,285.99","63,100.00","0.26K","-7.30%"
"Dec 03, 2021","76,900.01","79,820.00","81,320.01","74,205.00","0.11K","-3.66%"
"Dec 02, 2021","79,820.00","80,614.99","80,799.67","78,565.00","0.05K","-0.99%"
"Dec 01, 2021","80,614.99","80,060.00","82,660.00","79,400.00","0.08K","0.69%"
"Nov 30, 2021","80,060.00","80,910.36","82,699.85","78,735.01","0.18K","-1.05%"
"Nov 29, 2021","80,910.36","80,480.00","82,350.00","79,320.00","0.21K","0.53%"
"Nov 28, 2021","80,480.00","77,470.70","80,784.95","75,520.00","0.07K","3.88%"
"Nov 27, 2021","77,470.70","75,753.00","78,148.61","75,713.54","0.04K","2.27%"
"Nov 26, 2021","75,753.00","82,031.61","82,744.55","75,000.00","0.18K","-7.65%"
"Nov 25, 2021","82,031.61","79,568.68","82,600.88","79,301.10","0.05K","3.10%"
"Nov 24, 2021","79,568.68","79,834.89","80,257.02","77,910.01","0.08K","-0.33%"
