"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 17, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 16, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 15, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 14, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 13, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 12, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 11, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 10, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 09, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 08, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 07, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 06, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 05, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 04, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 03, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 02, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Jan 01, 2022","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 31, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 30, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 29, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 28, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 27, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 26, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 25, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 24, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 23, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 22, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 21, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
"Dec 20, 2021","78,002.2","78,002.2","78,002.2","78,002.2","-","0.00%"
