,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.118289077353733,BTC,1.8638151289228883e-05,AUD to BTC,0,0
0_trade2,60644.21278879117,SGD,54229.46,BTC to SGD,0,0
0_trade3,59814.584501751866,AUD,0.9863197451349778,SGD to AUD,-185.4154982481341,-0.0030902583041355685
1_trade1,60822.600000000006,SGD,1.01371,AUD to SGD,0,0
1_trade2,1.117279172286195,BTC,1.8369474048892927e-05,SGD to BTC,0,0
1_trade3,59945.80399675669,AUD,53653.38,BTC to AUD,-54.19600324331259,-0.0009032667207218765
