,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.2488067651359125,BTC,2.497613530271825e-05,USD to BTC,0,0
0_trade2,66897.21720895683,AUD,53568.91,BTC to AUD,0,0
0_trade3,49699.280608878216,USD,0.74292,AUD to USD,-300.7193911217837,-0.006014387822435674
1_trade1,67292.93962477458,AUD,1.3458587924954915,USD to AUD,0,0
1_trade2,1.2533329886108795,BTC,1.862502954395311e-05,AUD to BTC,0,0
1_trade3,49679.826069166105,USD,39638.17,BTC to USD,-320.1739308338947,-0.006403478616677894
