,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1099559347493906,BTC,1.849926557915651e-05,AUD to BTC,0,0
0_trade2,60711.75924315805,SGD,54697.45,BTC to SGD,0,0
0_trade3,59811.59474228663,AUD,0.9851731441800896,SGD to AUD,-188.4052577133698,-0.003140087628556163
1_trade1,60895.200000000004,SGD,1.01492,AUD to SGD,0,0
1_trade2,1.108639384705797,BTC,1.82056941221278e-05,SGD to BTC,0,0
1_trade3,59880.2073841203,AUD,54012.34,BTC to AUD,-119.79261587969813,-0.001996543597994969
