marketId,bestBid,bestAsk,timestamp
AUD_SGD,1.01437,1.01453,2022-04-12 06:24:26.913686
BTC_AUD,54032.42,54114.29,2022-04-12 06:24:27.102205
BTC_SGD,54732.64,54953.03,2022-04-12 06:24:28.557879
