,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1099590147633798,BTC,1.8499316912722996e-05,AUD to BTC,0,0
0_trade2,60688.5963735789,SGD,54676.43,BTC to SGD,0,0
0_trade3,59801.73661951155,AUD,0.9853867150163083,SGD to AUD,-198.26338048845355,-0.0033043896748075592
1_trade1,60883.200000000004,SGD,1.01472,AUD to SGD,0,0
1_trade2,1.1090654228590635,BTC,1.8216280071662845e-05,SGD to BTC,0,0
1_trade3,59845.1813081293,AUD,53960.01,BTC to AUD,-154.8186918706997,-0.0025803115311783284
