,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.112535568689244,BTC,1.8542259478154064e-05,AUD to BTC,0,0
0_trade2,60701.49817748132,SGD,54561.4,BTC to SGD,0,0
0_trade3,59802.664135524385,AUD,0.9851925558850476,SGD to AUD,-197.33586447561538,-0.0032889310745935897
1_trade1,60891.600000000006,SGD,1.01486,AUD to SGD,0,0
1_trade2,1.111508234509845,BTC,1.825388451789483e-05,SGD to BTC,0,0
1_trade3,59845.82636247908,AUD,53842.0,BTC to AUD,-154.17363752092206,-0.002569560625348701
