,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1102607336306858,BTC,1.850434556051143e-05,AUD to BTC,0,0
0_trade2,60679.23531162058,SGD,54653.14,BTC to SGD,0,0
0_trade3,59808.424648735,AUD,0.9856489512695159,SGD to AUD,-191.57535126499715,-0.003192922521083286
1_trade1,60865.799999999996,SGD,1.01443,AUD to SGD,0,0
1_trade2,1.1090998014525162,BTC,1.8222052473680067e-05,SGD to BTC,0,0
1_trade3,59820.528892121074,AUD,53936.11,BTC to AUD,-179.47110787892598,-0.002991185131315433
