,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.2501340768797453,BTC,2.5002681537594907e-05,USD to BTC,0,0
0_trade2,66922.96498799496,AUD,53532.63,BTC to AUD,0,0
0_trade3,49707.03224483326,USD,0.74275,AUD to USD,-292.967755166741,-0.005859355103334819
1_trade1,67309.24559797534,AUD,1.3461849119595068,USD to AUD,0,0
1_trade2,1.2547490874114753,BTC,1.8641556241854806e-05,AUD to BTC,0,0
1_trade3,49739.85990382276,USD,39641.28,BTC to USD,-260.14009617723787,-0.005202801923544757
