,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1086410998015348,BTC,1.8477351663358914e-05,AUD to BTC,0,0
0_trade2,60684.44175578448,SGD,54737.68,BTC to SGD,0,0
0_trade3,59828.888648116415,AUD,0.9859016070196195,SGD to AUD,-171.11135188358458,-0.0028518558647264098
1_trade1,60850.200000000004,SGD,1.01417,AUD to SGD,0,0
1_trade2,1.1075704970399662,BTC,1.820159172919672e-05,SGD to BTC,0,0
1_trade3,59849.687267203924,AUD,54036.91,BTC to AUD,-150.31273279607558,-0.0025052122132679265
