,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1088334849971133,BTC,1.848055808328522e-05,AUD to BTC,0,0
0_trade2,60689.483749306055,SGD,54732.73,BTC to SGD,0,0
0_trade3,59819.70523518645,AUD,0.9856683817296509,SGD to AUD,-180.29476481355232,-0.0030049127468925385
1_trade1,60865.799999999996,SGD,1.01443,AUD to SGD,0,0
1_trade2,1.1075967967553382,BTC,1.8197358726170332e-05,SGD to BTC,0,0
1_trade3,59846.1242369711,AUD,54032.41,BTC to AUD,-153.87576302889647,-0.0025645960504816078
