,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.2490822368264918,BTC,2.4981644736529834e-05,USD to BTC,0,0
0_trade2,66932.20905939362,AUD,53585.11,BTC to AUD,0,0
0_trade3,49723.93811022352,USD,0.7429,AUD to USD,-276.0618897764798,-0.005521237795529596
1_trade1,67296.56249158793,AUD,1.3459312498317586,USD to AUD,0,0
1_trade2,1.2538280504341845,BTC,1.863138329823181e-05,AUD to BTC,0,0
1_trade3,49703.07297694453,USD,39641.06,BTC to USD,-296.92702305546845,-0.005938540461109369
