,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1133768329661973,BTC,1.855628054943662e-05,AUD to BTC,0,0
0_trade2,60704.45578975437,SGD,54522.83,BTC to SGD,0,0
0_trade3,59822.66963927151,AUD,0.9854741115950885,SGD to AUD,-177.33036072849063,-0.0029555060121415106
1_trade1,60877.799999999996,SGD,1.01463,AUD to SGD,0,0
1_trade2,1.1121944802979356,BTC,1.8269294887429173e-05,SGD to BTC,0,0
1_trade3,59834.828504155805,AUD,53798.89,BTC to AUD,-165.1714958441953,-0.0027528582640699217
