,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1089138189143735,BTC,1.8481896981906223e-05,AUD to BTC,0,0
0_trade2,60696.043025856176,SGD,54734.68,BTC to SGD,0,0
0_trade3,59807.89577361794,AUD,0.985367295659457,SGD to AUD,-192.10422638205637,-0.003201737106367606
1_trade1,60883.200000000004,SGD,1.01472,AUD to SGD,0,0
1_trade2,1.1081919255497257,BTC,1.8201932972473943e-05,SGD to BTC,0,0
1_trade3,59842.363979685186,AUD,54000.0,BTC to AUD,-157.63602031481423,-0.002627267005246904
