,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.112965435188962,BTC,1.8549423919816034e-05,AUD to BTC,0,0
0_trade2,60538.686400285806,SGD,54394.04,BTC to SGD,0,0
0_trade3,59716.98074523143,AUD,0.9864267676767677,SGD to AUD,-283.01925476857286,-0.004716987579476214
1_trade1,60818.40000000001,SGD,1.01364,AUD to SGD,0,0
1_trade2,1.1135391207276975,BTC,1.8309247213469893e-05,SGD to BTC,0,0
1_trade3,59951.28708668935,AUD,53838.51,BTC to AUD,-48.71291331065004,-0.000811881888510834
