,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1133768329661973,BTC,1.855628054943662e-05,AUD to BTC,0,0
0_trade2,60704.45578975437,SGD,54522.83,BTC to SGD,0,0
0_trade3,59827.386306501074,AUD,0.9855518104586759,SGD to AUD,-172.6136934989263,-0.0028768948916487714
1_trade1,60873.59999999999,SGD,1.01456,AUD to SGD,0,0
1_trade2,1.1121177492594083,BTC,1.8269294887429173e-05,SGD to BTC,0,0
1_trade3,59830.711580631985,AUD,53798.9,BTC to AUD,-169.28841936801473,-0.002821473656133579
