,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.112058626248031,BTC,1.8534310437467185e-05,AUD to BTC,0,0
0_trade2,60668.29163144376,SGD,54554.94,BTC to SGD,0,0
0_trade3,59795.28053562366,AUD,0.9856100926473488,SGD to AUD,-204.71946437634324,-0.003411991072939054
1_trade1,60869.399999999994,SGD,1.01449,AUD to SGD,0,0
1_trade2,1.111341565168492,BTC,1.8257803841807084e-05,SGD to BTC,0,0
1_trade3,59848.232689429264,AUD,53852.24,BTC to AUD,-151.7673105707363,-0.0025294551761789385
