,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1097411972553881,BTC,1.8495686620923135e-05,AUD to BTC,0,0
0_trade2,60692.14558472819,SGD,54690.36,BTC to SGD,0,0
0_trade3,59808.770051073836,AUD,0.9854449776796713,SGD to AUD,-191.22994892616407,-0.0031871658154360677
1_trade1,60879.59999999999,SGD,1.01466,AUD to SGD,0,0
1_trade2,1.1085620410057753,BTC,1.820908877531678e-05,SGD to BTC,0,0
1_trade3,59862.35021431187,AUD,54000.0,BTC to AUD,-137.6497856881324,-0.0022941630948022066
