,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1101163235389622,BTC,1.850193872564937e-05,AUD to BTC,0,0
0_trade2,60720.52099979297,SGD,54697.44,BTC to SGD,0,0
0_trade3,59826.120498342745,AUD,0.9852702103551899,SGD to AUD,-173.87950165725488,-0.0028979916942875814
1_trade1,60891.600000000006,SGD,1.01486,AUD to SGD,0,0
1_trade2,1.1089529984925994,BTC,1.8211920831323192e-05,SGD to BTC,0,0
1_trade3,59840.44563178884,AUD,53961.21,BTC to AUD,-159.55436821116018,-0.002659239470186003
