,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1144437105626233,BTC,1.8574061842710388e-05,AUD to BTC,0,0
0_trade2,60615.09491717083,SGD,54390.45,BTC to SGD,0,0
0_trade3,59782.91671647746,AUD,0.9862711062016728,SGD to AUD,-217.08328352253739,-0.003618054725375623
1_trade1,60826.200000000004,SGD,1.01377,AUD to SGD,0,0
1_trade2,1.110921369870069,BTC,1.826386277410177e-05,SGD to BTC,0,0
1_trade3,59810.35128096341,AUD,53838.51,BTC to AUD,-189.64871903658786,-0.003160811983943131
