,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1094742257118064,BTC,1.8491237095196774e-05,AUD to BTC,0,0
0_trade2,60696.46135044834,SGD,54707.41,BTC to SGD,0,0
0_trade3,59822.45527882471,AUD,0.9856003784705453,SGD to AUD,-177.54472117529076,-0.002959078686254846
1_trade1,60867.00000000001,SGD,1.01445,AUD to SGD,0,0
1_trade2,1.1084363502729526,BTC,1.82107932093409e-05,SGD to BTC,0,0
1_trade3,59864.99570808026,AUD,54008.51,BTC to AUD,-135.00429191973672,-0.002250071531995612
