,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.111165846317615,BTC,1.851943077196025e-05,AUD to BTC,0,0
0_trade2,60709.4793928738,SGD,54635.84,BTC to SGD,0,0
0_trade3,59809.93792645985,AUD,0.9851828499369484,SGD to AUD,-190.0620735401535,-0.0031677012256692253
1_trade1,60895.200000000004,SGD,1.01492,AUD to SGD,0,0
1_trade2,1.1098948086729534,BTC,1.8226310262105278e-05,SGD to BTC,0,0
1_trade3,59826.0827265977,AUD,53902.48,BTC to AUD,-173.91727340230136,-0.0028986212233716893
