,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1101912970623968,BTC,1.850318828437328e-05,AUD to BTC,0,0
0_trade2,60685.22117045988,SGD,54661.95,BTC to SGD,0,0
0_trade3,59809.60850199074,AUD,0.9855712370890168,SGD to AUD,-190.39149800925952,-0.0031731916334876587
1_trade1,60869.399999999994,SGD,1.01449,AUD to SGD,0,0
1_trade2,1.1091654008414213,BTC,1.8222052473680067e-05,SGD to BTC,0,0
1_trade3,59902.69580324264,AUD,54007.0,BTC to AUD,-97.30419675735902,-0.0016217366126226504
