,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1112481650514676,BTC,1.8520802750857793e-05,AUD to BTC,0,0
0_trade2,60713.97694604557,SGD,54635.84,BTC to SGD,0,0
0_trade3,59819.08345752105,AUD,0.9852605028769605,SGD to AUD,-180.9165424789535,-0.003015275707982558
1_trade1,60889.799999999996,SGD,1.01483,AUD to SGD,0,0
1_trade2,1.1101996670301706,BTC,1.8232933381784315e-05,SGD to BTC,0,0
1_trade3,59842.226696187005,AUD,53902.22,BTC to AUD,-157.77330381299544,-0.002629555063549924
