,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1103655212259325,BTC,1.8506092020432207e-05,AUD to BTC,0,0
0_trade2,60684.96228273386,SGD,54653.14,BTC to SGD,0,0
0_trade3,59813.47988086959,AUD,0.9856392363267197,SGD to AUD,-186.5201191304077,-0.0031086686521734617
1_trade1,60865.799999999996,SGD,1.01443,AUD to SGD,0,0
1_trade2,1.1093419710140489,BTC,1.8226031219733397e-05,SGD to BTC,0,0
1_trade3,59913.30789026762,AUD,54007.97,BTC to AUD,-86.69210973237932,-0.0014448684955396553
