,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.112846533455227,BTC,1.8547442224253785e-05,AUD to BTC,0,0
0_trade2,60645.52888866137,SGD,54495.86,BTC to SGD,0,0
0_trade3,59763.4207976875,AUD,0.9854546887934091,SGD to AUD,-236.57920231250318,-0.003942986705208386
1_trade1,60876.6,SGD,1.01461,AUD to SGD,0,0
1_trade2,1.1125388190457253,BTC,1.8275311351910674e-05,SGD to BTC,0,0
1_trade3,59852.485766292026,AUD,53798.11,BTC to AUD,-147.5142337079742,-0.00245857056179957
