,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1177890728293607,BTC,1.8629817880489345e-05,AUD to BTC,0,0
0_trade2,60617.0978134369,SGD,54229.46,BTC to SGD,0,0
0_trade3,59787.25077271167,AUD,0.9863100169645324,SGD to AUD,-212.7492272883319,-0.0035458204548055317
1_trade1,60824.99999999999,SGD,1.01375,AUD to SGD,0,0
1_trade2,1.1170591693340488,BTC,1.8365132253745154e-05,SGD to BTC,0,0
1_trade3,59934.000094764066,AUD,53653.38,BTC to AUD,-65.99990523593442,-0.001099998420598907
