,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1123926286190071,BTC,1.853987714365012e-05,AUD to BTC,0,0
0_trade2,60652.28478956961,SGD,54524.17,BTC to SGD,0,0
0_trade3,59770.667444759405,AUD,0.9854644000985464,SGD to AUD,-229.33255524059496,-0.003822209254009916
1_trade1,60877.200000000004,SGD,1.01462,AUD to SGD,0,0
1_trade2,1.1121835187210034,BTC,1.8269294887429173e-05,SGD to BTC,0,0
1_trade3,59835.48442902517,AUD,53800.01,BTC to AUD,-164.51557097482873,-0.002741926182913812
