,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.107868134887377,BTC,1.8464468914789615e-05,AUD to BTC,0,0
0_trade2,60698.211734650075,SGD,54788.3,BTC to SGD,0,0
0_trade3,59823.0012267034,AUD,0.9855809506913851,SGD to AUD,-176.99877329659648,-0.0029499795549432746
1_trade1,60871.799999999996,SGD,1.01453,AUD to SGD,0,0
1_trade2,1.1064166085180471,BTC,1.817617695744248e-05,SGD to BTC,0,0
1_trade3,59813.003562312566,AUD,54060.11,BTC to AUD,-186.99643768743408,-0.0031166072947905682
