,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1105899564907875,BTC,1.850983260817979e-05,AUD to BTC,0,0
0_trade2,60692.23071988071,SGD,54648.64,BTC to SGD,0,0
0_trade3,59800.60371843878,AUD,0.9853090421810801,SGD to AUD,-199.39628156121762,-0.003323271359353627
1_trade1,60887.99999999999,SGD,1.0148,AUD to SGD,0,0
1_trade2,1.109561751536016,BTC,1.8222995525161218e-05,SGD to BTC,0,0
1_trade3,59847.88571849261,AUD,53938.31,BTC to AUD,-152.11428150739084,-0.002535238025123181
