,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1109471435419624,BTC,1.8515785725699373e-05,AUD to BTC,0,0
0_trade2,60687.33188823798,SGD,54626.66,BTC to SGD,0,0
0_trade3,59815.81545702907,AUD,0.9856392363267197,SGD to AUD,-184.1845429709283,-0.003069742382848805
1_trade1,60867.00000000001,SGD,1.01445,AUD to SGD,0,0
1_trade2,1.1098800789043832,BTC,1.8234512607889054e-05,SGD to BTC,0,0
1_trade3,59862.50303458761,AUD,53936.01,BTC to AUD,-137.49696541239246,-0.002291616090206541
