,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1130897311721335,BTC,1.855149551953556e-05,AUD to BTC,0,0
0_trade2,60699.58802693899,SGD,54532.52,BTC to SGD,0,0
0_trade3,59804.90662384624,AUD,0.9852605028769605,SGD to AUD,-195.0933761537599,-0.0032515562692293316
1_trade1,60889.200000000004,SGD,1.01482,AUD to SGD,0,0
1_trade2,1.108358432062688,BTC,1.8202873942549547e-05,SGD to BTC,0,0
1_trade3,59676.234699119246,AUD,53842.0,BTC to AUD,-323.7653008807538,-0.0053960883480125635
