,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1144437105626233,BTC,1.8574061842710388e-05,AUD to BTC,0,0
0_trade2,60614.4373953816,SGD,54389.86,BTC to SGD,0,0
0_trade3,59783.44747547254,AUD,0.9862905611993293,SGD to AUD,-216.55252452746208,-0.003609208742124368
1_trade1,60824.99999999999,SGD,1.01375,AUD to SGD,0,0
1_trade2,1.1110025325195418,BTC,1.8265557460247298e-05,SGD to BTC,0,0
1_trade3,59814.72095707868,AUD,53838.51,BTC to AUD,-185.27904292132007,-0.003087984048688668
