,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.113162009042215,BTC,1.8552700150703583e-05,AUD to BTC,0,0
0_trade2,60699.32176894059,SGD,54528.74,BTC to SGD,0,0
0_trade3,59825.27450837325,AUD,0.9856003784705453,SGD to AUD,-174.7254916267484,-0.0029120915271124734
1_trade1,60871.200000000004,SGD,1.01452,AUD to SGD,0,0
1_trade2,1.1120529770351977,BTC,1.8268951113748336e-05,SGD to BTC,0,0
1_trade3,59863.25742267484,AUD,53831.3,BTC to AUD,-136.7425773251598,-0.00227904295541933
