,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1099298579826247,BTC,1.849883096637708e-05,AUD to BTC,0,0
0_trade2,60696.35889359971,SGD,54684.86,BTC to SGD,0,0
0_trade3,59802.31429489109,AUD,0.9852702103551899,SGD to AUD,-197.68570510891004,-0.003294761751815167
1_trade1,60889.799999999996,SGD,1.01483,AUD to SGD,0,0
1_trade2,1.1089745457724416,BTC,1.8212813078256813e-05,SGD to BTC,0,0
1_trade3,59898.310217606675,AUD,54012.34,BTC to AUD,-101.689782393325,-0.0016948297065554167
