,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.2488067651359125,BTC,2.497613530271825e-05,USD to BTC,0,0
0_trade2,66897.21720895683,AUD,53568.91,BTC to AUD,0,0
0_trade3,49695.266775845674,USD,0.74286,AUD to USD,-304.7332241543263,-0.006094664483086526
1_trade1,67298.37407128244,AUD,1.3459674814256488,USD to AUD,0,0
1_trade2,1.2534342053376435,BTC,1.862502954395311e-05,AUD to BTC,0,0
1_trade3,49683.80051196226,USD,39638.14,BTC to USD,-316.1994880377388,-0.0063239897607547755
