,new_amount,denomination,swap_rate,direction,profit,percent
0_trade1,1.1094305293093054,BTC,1.8490508821821757e-05,AUD to BTC,0,0
0_trade2,60675.15504291646,SGD,54690.36,BTC to SGD,0,0
0_trade3,59793.79451181235,AUD,0.9854741115950885,SGD to AUD,-206.20548818764655,-0.0034367581364607757
1_trade1,60877.200000000004,SGD,1.01462,AUD to SGD,0,0
1_trade2,1.1085183391927147,BTC,1.820908877531678e-05,SGD to BTC,0,0
1_trade3,59859.99031640659,AUD,54000.0,BTC to AUD,-140.00968359340914,-0.002333494726556819
